Date : 2022-07-10 23:33:36
Directory : c:\Users\בר\IdeaProjects\my-shop\client
Total : 70 files,  34116 codes, 152 comments, 364 blanks, all 34632 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     31,430 |          0 |          4 |     31,434 |
| JavaScript React |         44 |      2,101 |         79 |        231 |      2,411 |
| CSS              |          8 |        260 |          8 |         32 |        300 |
| JavaScript       |         10 |        253 |         65 |         63 |        381 |
| Markdown         |          1 |         38 |          0 |         33 |         71 |
| HTML             |          2 |         34 |          0 |          1 |         35 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         70 |     34,116 |        152 |        364 |     34,632 |
| build                                                                                     |          6 |         46 |          4 |          1 |         51 |
| build\static                                                                              |          3 |          3 |          4 |          0 |          7 |
| build\static\css                                                                          |          1 |          1 |          1 |          0 |          2 |
| build\static\js                                                                           |          2 |          2 |          3 |          0 |          5 |
| public                                                                                    |          2 |         58 |          0 |          2 |         60 |
| src                                                                                       |         59 |      2,611 |        148 |        326 |      3,085 |
| src\components                                                                            |         37 |      1,765 |         64 |        194 |      2,023 |
| src\components\Buttons                                                                    |          9 |        557 |         33 |         48 |        638 |
| src\components\Buttons\ArrowBtn                                                           |          2 |        109 |          0 |          5 |        114 |
| src\components\CurrencySelector                                                           |          1 |         19 |          0 |          2 |         21 |
| src\components\FacebookComp                                                               |          3 |         30 |          1 |          6 |         37 |
| src\components\FacebookComp\Login                                                         |          2 |         17 |          1 |          3 |         21 |
| src\components\FacebookComp\Share                                                         |          1 |         13 |          0 |          3 |         16 |
| src\components\FilterComp                                                                 |          2 |        117 |         12 |         18 |        147 |
| src\components\Foryou                                                                     |          1 |         61 |          3 |          6 |         70 |
| src\components\Lists                                                                      |          3 |         77 |          0 |         12 |         89 |
| src\components\Map                                                                        |          1 |         54 |          2 |          5 |         61 |
| src\components\Navbar                                                                     |          3 |        247 |          9 |         26 |        282 |
| src\components\NewComp                                                                    |          3 |        112 |          0 |         19 |        131 |
| src\components\PopUp                                                                      |          2 |        155 |          0 |         19 |        174 |
| src\components\ProductView                                                                |          4 |        236 |          0 |         17 |        253 |
| src\components\Sections                                                                   |          3 |         58 |          0 |         11 |         69 |
| src\components\SorterComp                                                                 |          2 |         42 |          4 |          5 |         51 |
| src\contexts                                                                              |          4 |        135 |          2 |         29 |        166 |
| src\pages                                                                                 |         10 |        484 |         18 |         52 |        554 |
| src\pages\styles                                                                          |          4 |         97 |          0 |         12 |        109 |
| src\styles                                                                                |          2 |         41 |          0 |          4 |         45 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\בר\IdeaProjects\my-shop\client\README.md                                         | Markdown         |         38 |          0 |         33 |         71 |
| c:\Users\בר\IdeaProjects\my-shop\client\build\asset-manifest.json                         | JSON             |         17 |          0 |          0 |         17 |
| c:\Users\בר\IdeaProjects\my-shop\client\build\index.html                                  | HTML             |          1 |          0 |          0 |          1 |
| c:\Users\בר\IdeaProjects\my-shop\client\build\manifest.json                               | JSON             |         25 |          0 |          1 |         26 |
